timestamp,elapsed_s,raw,voltage
2025-12-02T11:24:04.611135,0.309,519,2.542
2025-12-02T11:24:04.702746,0.401,522,2.556
2025-12-02T11:24:04.716976,0.415,522,2.556
2025-12-02T11:24:04.807491,0.506,521,2.546
2025-12-02T11:24:04.870985,0.569,517,2.527
2025-12-02T11:24:04.919265,0.617,513,2.512
2025-12-02T11:24:04.951255,0.649,510,2.498
2025-12-02T11:24:04.982684,0.681,497,2.434
2025-12-02T11:24:05.014710,0.713,492,2.409
2025-12-02T11:24:05.048163,0.746,488,2.390
2025-12-02T11:24:05.094433,0.792,476,2.326
2025-12-02T11:24:05.127637,0.826,473,2.317
2025-12-02T11:24:05.165328,0.863,473,2.312
2025-12-02T11:24:05.214725,0.913,473,2.312
2025-12-02T11:24:05.250437,0.948,477,2.332
2025-12-02T11:24:05.289023,0.987,483,2.365
2025-12-02T11:24:05.335886,1.034,497,2.434
2025-12-02T11:24:05.382680,1.079,508,2.483
2025-12-02T11:24:05.428435,1.126,514,2.517
2025-12-02T11:24:05.476302,1.174,518,2.536
2025-12-02T11:24:05.509743,1.208,513,2.512
2025-12-02T11:24:05.544511,1.243,513,2.512
2025-12-02T11:24:05.576461,1.274,506,2.478
2025-12-02T11:24:05.622641,1.321,496,2.429
2025-12-02T11:24:05.654509,1.353,494,2.414
2025-12-02T11:24:05.687851,1.386,485,2.371
2025-12-02T11:24:05.718221,1.416,482,2.361
2025-12-02T11:24:05.750257,1.448,481,2.351
2025-12-02T11:24:05.782640,1.481,479,2.346
2025-12-02T11:24:05.829104,1.527,482,2.356
2025-12-02T11:24:05.860941,1.559,483,2.365
2025-12-02T11:24:05.892685,1.591,487,2.385
2025-12-02T11:24:05.924459,1.622,488,2.390
2025-12-02T11:24:05.956860,1.655,491,2.400
2025-12-02T11:24:05.989198,1.687,492,2.409
2025-12-02T11:24:06.022714,1.721,497,2.434
2025-12-02T11:24:06.053953,1.752,500,2.444
2025-12-02T11:24:06.084468,1.782,503,2.458
2025-12-02T11:24:06.121509,1.820,508,2.483
2025-12-02T11:24:06.169278,1.867,514,2.517
2025-12-02T11:24:06.201063,1.899,526,2.571
2025-12-02T11:24:06.248948,1.947,531,2.595
2025-12-02T11:24:06.296500,1.995,535,2.615
2025-12-02T11:24:06.343769,2.042,544,2.663
2025-12-02T11:24:06.378085,2.076,552,2.698
2025-12-02T11:24:06.413141,2.111,567,2.776
2025-12-02T11:24:06.444902,2.143,586,2.869
2025-12-02T11:24:06.477060,2.175,605,2.957
2025-12-02T11:24:06.508897,2.207,616,3.015
2025-12-02T11:24:06.540623,2.239,660,3.226
2025-12-02T11:24:06.575077,2.273,728,3.563
2025-12-02T11:24:06.620876,2.319,728,3.563
2025-12-02T11:24:06.652096,2.350,694,3.392
2025-12-02T11:24:06.683633,2.382,655,3.201
2025-12-02T11:24:06.718896,2.417,646,3.157
2025-12-02T11:24:06.753273,2.451,634,3.104
2025-12-02T11:24:06.785673,2.484,607,2.967
2025-12-02T11:24:06.817180,2.515,580,2.835
2025-12-02T11:24:06.853236,2.551,544,2.663
2025-12-02T11:24:06.884025,2.582,494,2.414
2025-12-02T11:24:06.920710,2.619,383,1.872
2025-12-02T11:24:06.969073,2.667,331,1.623
2025-12-02T11:24:07.001928,2.700,323,1.583
2025-12-02T11:24:07.034313,2.732,242,1.183
2025-12-02T11:24:07.064746,2.763,34,0.171
2025-12-02T11:24:07.096557,2.795,34,0.171
2025-12-02T11:24:07.128411,2.826,0,0.000
2025-12-02T11:24:07.163601,2.862,0,0.000
2025-12-02T11:24:07.211160,2.909,0,0.000
2025-12-02T11:24:07.258612,2.957,33,0.166
2025-12-02T11:24:07.290581,2.989,131,0.645
2025-12-02T11:24:07.343655,3.042,228,1.115
2025-12-02T11:24:07.375082,3.073,331,1.623
2025-12-02T11:24:07.406837,3.105,433,2.117
2025-12-02T11:24:07.438040,3.136,512,2.502
2025-12-02T11:24:07.470104,3.168,537,2.630
2025-12-02T11:24:07.517903,3.216,580,2.839
2025-12-02T11:24:07.549362,3.247,584,2.854
2025-12-02T11:24:07.582305,3.280,581,2.845
2025-12-02T11:24:07.614898,3.313,571,2.791
2025-12-02T11:24:07.644970,3.343,562,2.752
2025-12-02T11:24:07.676593,3.375,562,2.747
2025-12-02T11:24:07.709321,3.407,562,2.747
2025-12-02T11:24:07.740972,3.439,561,2.742
2025-12-02T11:24:07.773798,3.472,558,2.728
2025-12-02T11:24:07.820301,3.518,558,2.728
2025-12-02T11:24:07.868424,3.566,558,2.732
2025-12-02T11:24:07.916456,3.614,566,2.767
2025-12-02T11:24:07.949630,3.648,568,2.781
2025-12-02T11:24:07.984179,3.682,568,2.781
2025-12-02T11:24:08.015775,3.714,567,2.772
2025-12-02T11:24:08.063935,3.762,563,2.756
2025-12-02T11:24:08.094608,3.793,562,2.747
2025-12-02T11:24:08.126608,3.825,562,2.747
2025-12-02T11:24:08.160721,3.859,562,2.752
2025-12-02T11:24:08.192732,3.891,563,2.756
2025-12-02T11:24:08.240749,3.939,566,2.767
2025-12-02T11:24:08.271961,3.970,567,2.772
2025-12-02T11:24:08.304827,4.003,571,2.791
2025-12-02T11:24:08.351118,4.049,572,2.801
2025-12-02T11:24:08.383022,4.081,575,2.815
2025-12-02T11:24:08.417962,4.116,576,2.820
2025-12-02T11:24:08.449154,4.147,580,2.835
2025-12-02T11:24:08.482071,4.180,583,2.849
2025-12-02T11:24:08.528179,4.226,584,2.859
2025-12-02T11:24:08.575945,4.274,584,2.854
2025-12-02T11:24:08.623522,4.322,575,2.811
2025-12-02T11:24:08.655640,4.354,566,2.767
2025-12-02T11:24:08.686222,4.384,556,2.717
2025-12-02T11:24:08.718243,4.416,549,2.688
2025-12-02T11:24:08.750811,4.449,544,2.663
2025-12-02T11:24:08.800292,4.497,531,2.600
2025-12-02T11:24:08.831739,4.530,528,2.586
2025-12-02T11:24:08.863799,4.562,528,2.586
2025-12-02T11:24:08.895602,4.594,525,2.566
2025-12-02T11:24:08.929192,4.627,523,2.561
2025-12-02T11:24:08.960729,4.659,521,2.546
2025-12-02T11:24:08.993573,4.692,518,2.536
2025-12-02T11:24:09.041174,4.739,513,2.507
2025-12-02T11:24:09.089045,4.787,512,2.502
